"","s1"
"GNAS",-0.350902210681598
"GNASAS1",0
"GPAM",0
"GPR112",0.142924111730118
"GPR98",2.5180811271978
"GPS2",-0.403053191193927
"GPT",0
"GREM1",0
"GRIN2A",-0.077962388579722
"GSK3B",0
"GTF2I",0
"GTF3C1",0
"H3F3A",0
"H3F3B",0
"H3F3C",0
"HACE1",0
"HAT1",0
"HCFC1",1.86164128885726
"HDAC2",0
"HECTD3",0
"HGF",0
"HIPK3",5.68627087261808
"HIST1H1C",0.157451735734694
"HIST1H2BD",0
"HIST1H3A",1.43746621504203
"HIST1H3B",-0.34037878699429
"HIST1H3C",0
"HIST1H3D",0
"HIST1H3E",0
"HIST1H3F",0
"HIST1H3G",0
"HIST1H3H",-0.083483533990462
"HIST1H3I",-0.121645408629861
"HIST1H3J",0
"HIST2H3D",0
"HIST3H3",1.17265946462969
"HLAA",0.110257247090914
"HLAB",-0.514951231204427
"HLCS",0
"HMCN1",4.0191018809485
"HNF1A",-0.417051367756486
"HOXB13",-0.123959840687934
"HRAS",-0.976783975811942
"HSF1",0
"HUWE1",1.42610431145687
"HYOU1",0
"ICOSLG",0
"ID3",0
"IDH1",2.87461269766471
"IDH2",2.07383647421103
"IFNGR1",0
"IGF1",0
"IGF1R",0
"IGF2",0
"IGLON5",0
"IKBKB",2.39392598081966
"IKBKE",-0.204048145642659
"IKZF1",-0.613341534778398
"IL10",0
"IL7R",0
"INHA",0
"INHBA",-0.152888270035438
"INPP4A",0
"INPP4B",-0.305968453342566
"INPPL1",-0.251832037117001
"INSIGF2",0
"INSR",0
"INSRR",0
"IRF4",0
"IRS1",0
"IRS2",0
"ITCH",5.86273486328031
"JAK1",0.0726568601442847
"JAK2",-0.177769104271476
"JAK3",0
"JARID2",4.74964159882662
"JUN",0
"KAT2A",0
"KAT6B",0
"KCNA4",4.04373112201995
"KCNH1",0
"KDM1B",0
"KDM3B",0
"KDM5A",-0.128101931602373
"KDM5C",0
"KDM6A",-0.34487834645831
"KDR",0
"KEAP1",-0.919896342952473
"KIF2B",0
"KIT",-1.52296895201331
"KLF4",0
"KMT2A",0
"KMT2B",0
"KMT2C",0
"KMT2D",-0.0838351621119806
"KNSTRN",-0.108733256757644
"KRAS",-0.0201765448775258
"LAMA1",3.54726333424952
"LAMA2",3.92080009561957
"LAMA3",0.91176866861236
"LATS1",-0.0448431681235292
"LATS2",0
"LDB1",0
"LGI1",0
"LMO1",-0.238019216342619
"LMO7",0
"LRP1B",5.18499405133809
"LRP2",3.51900966062429
"LRRIQ1",0
"LTN1",0
"LYN",-0.115788233737688
"LYVE1",0
"MAFB",0
"MALT1",0
"MAP2K1",0
"MAP2K2",0
"MAP2K4",0
"MAP2K7",0
"MAP3K1",-0.197721338621902
"MAP3K13",0
"MAP3K14",0
"MAPK1",0
"MAPK3",0.986912520032579
"MAPK4",0
"MAPKAP1",0
"MARCKS",4.66717682985427
"MARK4",0
"MAX",-1.09370455140547
"MCC",0
"MCL1",0
"MCM5",0
"MCM6",0
"MCM9",0
"MDC1",0
"MDC1AS1",0
"MDM1",0
"MDM2",0
"MDM4",-0.268020008021506
"MED12",-0.240891305455974
"MEF2B",-0.0945190614166027
"MEF2BNBMEF2B",0
"MEN1",-0.293116607591585
"MET",-0.528372561142934
"MGA",-0.411481976606597
"MITF",0
"MKL1",0
"MLH1",-0.0672662734272893
"MLL",0
"MLL2",-0.176090018824595
"MLL3",0
"MLL4",0
"MLLT11",0
"MLLT6",0
"MPL",0
"MRAS",0
"MRE11A",-0.120705126388214
"MSH2",0
"MSH3",0
"MSH4",0
"MSH6",0
"MSI1",0
"MSI2",0
"MSL3",0
"MST1",0
"MST1R",0
"MTOR",-0.601878039209667
"MUC1",1.59230545869606
"MUC16",2.65283780100012
"MUC17",3.87090435438698
"MUC2",2.42702585936569
"MUC4",3.67326753732165
"MUC6",4.68832884688761
"MUTYH",0
"MYC",-0.926516157655518
"MYCL",0
"MYCL1",0
"MYCN",-1.18394875796314
"MYD88",0
"MYOD1",-0.29960640376068
"NBN",0
"NCK2",0
"NCOA2",0
"NCOA3",1.10778374000402
"NCOR1",-1.19284857250381
"NDC80",0
"NDUFB11",0
"NEB",4.40199448172225
"NEGR1",0
"NEK4",3.43342014181929
"NF1",0
"NF2",-0.482702909191949
"NFATC4",0
"NFE2L2",0
"NFKB1",0
"NFKB2",0
"NFKBIA",0
"NKX21",-0.322519614276167
"NKX31",-0.717466908629012
"NLRP1",0
"NOTCH1",-0.431408339968338
"NOTCH2",0.0126645928902707
"NOTCH3",-0.0974645594835461
"NOTCH4",0.0181868340274003
"NOV",0
"NPM1",0
"NR2F1",0
"NRAS",0.317334733334118
"NSD1",0
"NTHL1",0
"NTRK1",0
"NTRK2",-0.204703929098764
"NTRK3",0
"NUF2",0.0390588884770006
"NUP214",0
"NUP93",-0.109225450437519
"OBSCN",3.84237567005686
"OBSL1",0
"OGT",2.77794719628624
"OR10Z1",5.13323227602147
"P4HTM",6.15237839395389
"PAF1",0
"PAK1",-0.3337738697425
"PAK7",-0.182460002496361
"PALB2",0.151251561622043
"PARK2",0
"PARP1",0
"PAX5",-0.00266523567773405
"PBRM1",1.37253878176174
"PBX1",0
"PCDH10",1.49914502822087
"PCDHA12",0
"PCDHA13",0
"PCDHAC1",0
"PCLO",5.10895900324982
"PDCD1",0.154691336229646
"PDCD1LG2",0
"PDE4DIP",5.15414223536087
"PDGFA",2.67323220810083
"PDGFRA",-0.0936164579972769
"PDGFRB",0
"PDPK1",-0.185641017055882
"PEG3",1.31294275676365
"PELP1",4.24165809108802
"PGR",0.0770880128638018
"PHOX2B",0.0761935915206183
"PIGR",0
"PIK3C2A",0
"PIK3C2G",-0.21787321146299
"PIK3C3",0
"PIK3CA",-0.912320824435799
"PIK3CB",0
"PIK3CD",-0.322813114684259
"PIK3CG",-0.147957782627006
"PIK3R1",-1.01248856771878
"PIK3R2",0
"PIK3R3",0
"PIM1",-0.422476406119244
"PLCD1",0
"PLCG2",-0.0168768942280619
"PLEC",2.58454654986941
"PLEKHG1",0
"PLK2",0
"PMAIP1",0
"PMEPA1",2.30247354545996
"PMS1",0
"PMS2",0
"PNRC1",0
"POLD1",0
"POLD3",0
"POLE",0
"PPARG",0
"PPFIA4",3.89889248312899
"PPM1D",-0.128181644217223
"PPP1R12A",0
"PPP2R1A",0
"PPP4R2",0
"PPP6C",0.0645505293124587
"PRDM1",0
"PRDM11",0
"PRDM14",0
"PREX2",0.420623215728706
"PRKAR1A",0
"PRKCI",0
"PRKD1",0
"PTCH1",-0.141167351144032
"PTEN",-0.868747400167979
"PTP4A1",-0.0807520625408598
"PTPN11",-0.0522983414256418
"PTPRD",-0.06267404044424
"PTPRE",0
"PTPRS",0
"PTPRT",-0.309336291172186
"PXDN",4.56136369008038
"RAB35",0
"RAC1",0
"RAC2",0
"RAD21",0
"RAD50",0
"RAD51",0
"RAD51B",0
"RAD51C",0.693319254056384
"RAD51D",0.696722694829726
"RAD52",0
"RAD54L",0
"RADIL",3.5709255728183
"RAF1",0
"RARA",0.400722578449156
"RARG",0
"RASA1",1.34173190836943
"RASGRF2",0
"RB1",-0.396158782629973
"RBL1",0
"RBM10",-0.771375794738783
"RECQL",0
"RECQL4",0.438260619535997
"REG3A",0
"REL",0
"REST",0
"RET",0
"RFWD2",0
"RGS7",0
"RHBDF1",0
"RHEB",0
"RHOA",-1.28440416122495
"RICTOR",-0.302290143840791
"RIMS1",4.45320193159449
"RIT1",0
"RNF213",0.0593131876389131
"RNF43",0.151181022555771
